,Entity,Year,"GHG emissions per kilogram","Land use per kilogram","Freshwater withdrawals per kilogram","Eutrophying emissions per kilogram"
0,Apples,2010,0.43,0.63,180.1,1.45
1,Bananas,2010,0.86,1.93,114.5,3.29
2,Barley,2010,1.18,1.11,17.1,2.33
3,Beef (beef herd),2010,99.48,326.21,1451.2,301.41
4,Beef (dairy herd),2010,33.3,43.24,2714.3,365.29
5,Beet Sugar,2010,1.81,1.83,217.7,5.41
6,Berries & Grapes,2010,1.53,2.41,419.6,6.12
7,Brassicas,2010,0.51,0.55,119.4,5.01
8,Cane Sugar,2010,3.2,2.04,620.1,16.92
9,Cassava,2010,1.32,1.81,0,0.69
10,Cheese,2010,23.88,87.79,5605.2,98.37
11,Citrus Fruit,2010,0.39,0.86,82.7,2.24
12,Coffee,2010,28.53,21.62,25.9,110.52
13,Dark Chocolate,2010,46.65,68.96,540.6,87.08
14,Eggs,2010,4.67,6.27,577.7,21.76
15,Fish (farmed),2010,13.63,8.41,3691.3,235.12
16,Groundnuts,2010,3.23,9.11,1852.3,14.14
17,Lamb & Mutton,2010,39.72,369.81,1802.8,97.13
18,Maize,2010,1.7,2.94,215.7,4.03
19,Milk,2010,3.15,8.95,628.2,10.65
20,Nuts,2010,0.43,12.96,4133.8,19.15
21,Oatmeal,2010,2.48,7.6,482.4,11.23
22,Onions & Leeks,2010,0.5,0.39,14.3,3.24
23,Other Fruit,2010,1.05,0.89,153.5,2.43
24,Other Pulses,2010,1.79,15.57,435.7,17.08
25,Other Vegetables,2010,0.53,0.38,102.5,2.27
26,Peas,2010,0.98,7.46,396.6,7.52
27,Pig Meat,2010,12.31,17.36,1795.8,76.38
28,Potatoes,2010,0.46,0.88,59.1,3.48
29,Poultry Meat,2010,9.87,12.22,660,48.7
30,Prawns (farmed),2010,26.87,2.97,3515.4,227.22
31,Rice,2010,4.45,2.8,2248.4,35.07
32,Root Vegetables,2010,0.43,0.33,28.4,1.61
33,Soymilk,2010,0.98,0.66,27.8,1.06
34,Tofu (soybeans),2010,3.16,3.52,148.6,6.16
35,Tomatoes,2010,2.09,0.8,369.8,7.51
36,Wheat & Rye,2010,1.57,3.85,647.5,7.16
37,Wine,2010,1.79,1.78,78.9,4.57
